state,provider,zip,planuri,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8
AL,National General,35215,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
AK,National General,99504,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
AR,National General,72209,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
AZ,National General,85364,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
CA,National General,90011,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
CO,National General,80219,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
CT,National General,6606,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
DE,National General,19805,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
DC,National General,20015,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
FL,National General,33186,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
GA,National General,30044,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
HI,National General,96818,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
IA,National General,50317,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
ID,National General,83709,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
IL,National General,60629,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
IN,National General,46227,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
KS,National General,66062,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
KY,National General,40214,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
LA,National General,70816,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MA,National General,2128,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MD,National General,21215,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
ME,National General,4401,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MI,National General,48228,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MN,National General,55106,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MO,National General,63129,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MS,National General,39503,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
MT,National General,59102,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NC,National General,28269,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
ND,National General,58103,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NE,National General,68104,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NH,National General,3103,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NJ,National General,8701,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NM,National General,87121,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NV,National General,89110,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
NY,National General,11226,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
OH,National General,43228,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
OK,National General,73160,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
OR,National General,97229,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
PA,National General,19120,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
RI,National General,2909,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
SC,National General,29223,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
SD,National General,57106,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
TN,National General,37013,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
TX,National General,79936,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
UT,National General,84120,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
VA,National General,23464,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
VT,National General,5401,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
WA,National General,98115,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
WI,National General,53215,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
WV,National General,25302,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
WY,National General,82001,nationalgeneral-${state}-5000-20-7000-1000000,${Question1},${Question2},${Question3},${Question4},${Question5},${Question6},${Question7},${Question8}
