,url,price,plan_name,plan_id,metal,plan_type,deductible,oop,benefits,brochure
1,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-1-se1u9,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
2,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-2-ex5qw,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
3,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-3-with-3-free-pcp-visits-7c4gf,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
4,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-1-vision-e87xk,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
5,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-2-vision-0wggu,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
6,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-3-with-3-free-pcp-visits-vision-7nm54,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
7,http://www.healthpocket.com/individual-health-insurance/plan/2015-molina-marketplace-molina-marketplace-bronze-plan-wr7fd,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
8,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-1-vision-adult-dental-thww2,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
9,http://www.healthpocket.com/individual-health-insurance/plan/2015-coventryone-coventry-bronze-ded-only-hsa-eligible-carelink-hmo-01u4i,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
10,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-4-with-3-free-pcp-visits-xpgo1,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
11,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-2-vision-adult-dental-s748a,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
12,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-3-with-3-free-pcp-visits-vision-adult-dental-prskx,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
13,http://www.healthpocket.com/individual-health-insurance/plan/2015-preferred-medical-plan-inc-bronze-select-ax-dade-u1c51,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
14,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-4-with-3-free-pcp-visits-vision-iqk9o,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
15,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-essential-care-4-with-3-free-pcp-visits-vision-adult-dental-jo39b,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
16,http://www.healthpocket.com/individual-health-insurance/plan/2015-coventryone-coventry-bronze-20-copay-carelink-hmo-gz0nz,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
17,http://www.healthpocket.com/individual-health-insurance/plan/2015-humana-medical-plan-inc-humana-bronze-6300-south-florida-humx-hmox-ahvz9,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
18,http://www.healthpocket.com/individual-health-insurance/plan/2015-avmed-health-plans-premier-hsaqkb100-l1k4u,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
19,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-balanced-care-2-8m2jk,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
20,http://www.healthpocket.com/individual-health-insurance/plan/2015-molina-marketplace-molina-marketplace-silver-plan-umdbt,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
21,http://www.healthpocket.com/individual-health-insurance/plan/2015-ambetter-from-sunshine-health-ambetter-balanced-care-2-vision-12bf2,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
22,http://www.healthpocket.com/individual-health-insurance/plan/2015-preferred-medical-plan-inc-silver-deluxe-ax-dade-ery8p,${price},${plan_name},${plan_id},${metal},${plan_type},${deductible},${oop},${benefits},${brochure}
