"state","zipcode","planid","premium","duration","extendedInfo","dentalPrice","teladocPrice","pre-xPrice","uri","status"
"##al","35215","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ak","99504","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ar","72209","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##az","85364","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ca","90011","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"co","80219","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ct","06606","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"de","19805","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"dc","20015","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##fl","33186","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ga","30044","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##hi","96818","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ia","50317","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"id","83709","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##il","60629","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##in","46227","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ks","66062","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ky","40214","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##la","70816","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ma","02128","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##md","21215","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"me","04401","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mi","48228","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"mn","55106","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mo","63129","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ms","39503","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##mt","59102","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nc","28269","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nd","58103","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"ne","68104","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"nh","03103","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nj","08701","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nm","87121","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##nv","89110","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ny","11226","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##oh","43228","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##ok","73160","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"or","97229","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
"##pa","19120","everest-one-${state}-5000-20-9000-250000","${premium}","${duration}","${extendedInfo}","${dentalPrice}","${teladocPrice}","${prexPrice}","${uri}","${status}"
