"provider","state","state1","zipcode","Total","over6","upTo6","Max Duration","Enable"
"LifeShield","Alabama","AL","35215","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Alaska","AK","99504","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","California","CA","90011","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Colorado","CO","80219","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Connecticut","CT","06606","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Delaware","DE","19805","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Florida","FL","33186","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Georgia","GA","30044","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Iowa","IA","50317","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Idaho","ID","83709","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Illinois","IL","60629","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Indiana","IN","46227","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Kansas","KS","66062","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Massachusetts","MA","02128","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Maryland","MD","21215","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Maine","ME","04401","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Michigan","MI","48228","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Missouri","MO","63129","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Montana","MT","59102","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","New Hampshire","NH","03103","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","New Jersey","NJ","08701","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Nevada","NV","89110","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","New York","NY","11226","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Ohio","OH","43228","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Oregon","OR","97229","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Rhode Island","RI","02909","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Texas","TX","79936","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Utah","UT","84120","${num}","${over6}","${upTo6}","${maxDuration}","N"
"LifeShield","Virginia","VA","23464","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"##LifeShield","Vermont","VT","05401","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Washington","WA","98115","${num}","${over6}","${upTo6}","${maxDuration}","N"
"##LifeShield","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"LifeShield","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${maxDuration}","N"
