"state","state1","zipcode","planCount","healthchoice","vitalacare","PLID"
"Alabama","AL","35215","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Alaska","AK","99504","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Arkansas","AR","72209","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Arizona","AZ","85364","${planCount}","${healthchoice}","${vitalacare}","tristar"
"California","CA","90011","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Colorado","CO","80219","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Connecticut","CT","06606","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Delaware","DE","19805","${planCount}","${healthchoice}","${vitalacare}","tristar"
"District Of Columbia","DC","20015","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Florida","FL","33186","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Georgia","GA","30044","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Hawaii","HI","96818","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Iowa","IA","50317","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Idaho","ID","83709","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Illinois","IL","60629","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Indiana","IN","46227","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Kansas","KS","66062","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Kentucky","KY","40214","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Louisiana","LA","70816","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Massachusetts","MA","02128","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Maryland","MD","21215","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Maine","ME","04401","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Michigan","MI","48228","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Minnesota","MN","55106","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Missouri","MO","63129","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Mississippi","MS","39503","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Montana","MT","59102","${planCount}","${healthchoice}","${vitalacare}","tristar"
"North Carolina","NC","28269","${planCount}","${healthchoice}","${vitalacare}","tristar"
"North Dakota","ND","58103","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Nebraska","NE","68104","${planCount}","${healthchoice}","${vitalacare}","tristar"
"New Hampshire","NH","03103","${planCount}","${healthchoice}","${vitalacare}","tristar"
"New Jersey","NJ","08701","${planCount}","${healthchoice}","${vitalacare}","tristar"
"New Mexico","NM","87121","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Nevada","NV","89110","${planCount}","${healthchoice}","${vitalacare}","tristar"
"New York","NY","11226","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Ohio","OH","43228","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Oklahoma","OK","73160","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Oregon","OR","97229","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Pennsylvania","PA","19120","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Rhode Island","RI","02909","${planCount}","${healthchoice}","${vitalacare}","tristar"
"South Carolina","SC","29223","${planCount}","${healthchoice}","${vitalacare}","tristar"
"South Dakota","SD","57106","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Tennessee","TN","37013","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Texas","TX","79936","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Utah","UT","84120","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Virginia","VA","23464","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Vermont","VT","05401","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Washington","WA","98115","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Wisconsin","WI","53215","${planCount}","${healthchoice}","${vitalacare}","tristar"
"West Virginia","WV","25302","${planCount}","${healthchoice}","${vitalacare}","tristar"
"Wyoming","WY","82001","${planCount}","${healthchoice}","${vitalacare}","tristar"
