"state","zipcode","planid","premium","duration","uri","status"
"al","35215","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ak","99504","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"ar","72209","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"az","85364","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ca","90011","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##co","80219","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ct","06606","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##de","19805","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##dc","20015","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"fl","33186","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"ga","30044","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##hi","96818","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ia","50317","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##id","83709","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"il","60629","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"in","46227","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ks","66062","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"ky","40214","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"la","70816","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ma","02128","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##md","21215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##me","04401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##mi","48228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##mn","55106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"mo","63129","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"ms","39503","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##mt","59102","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"nc","28269","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##nd","58103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ne","68104","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##nh","03103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##nj","08701","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##nm","87121","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"nv","89110","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ny","11226","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##oh","43228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"ok","73160","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##or","97229","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"pa","19120","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ri","02909","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"sc","29223","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"sd","57106","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"tn","37013","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"tx","79936","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##ut","84120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##va","23464","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##vt","05401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##wa","98115","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##wi","53215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"##wv","25302","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
"wy","82001","lifeshield-advantage-${state}-5000-20-9000-750000","${premium}","${duration}","${uri}","${status}"
