"provider","state","state1","zip","DOB","Question1","Question2","Question3","Question4","Question5","Question6","Question7","Question8"
"unitedhealthone","Alabama","AL","35215","12/21/1969","Has any applicant been declined for insurance due to health reasons? The person(s) named will not be covered under the policy/certificate.","Has any applicant lived in the 50 states of the USA or the District of Columbia for less than the past 12 months? The person(s) named will not be covered under the policy/certificate.","Are you or is any family member (whether or not named in this application) an expectant mother or father, in the process of adopting a child, or undergoing infertility treatment? If yes, coverage cannot be issued.","Within the last 5 years  has any applicant received medical or surgical consultation, advice, or treatment, including medication for any of the following: blood disorders (except sickle-cell anemia), liver disorders, kidney disorders, chronic obstructive pulmonary disorder (COPD) or emphysema, diabetes, cancer, multiple sclerosis, heart or circulatory system disorders (excluding high blood pressure), Crohn's disease or ulcerative colitis, or alcohol or drug abuse or immune system disorders? The person(s) named will not be covered under the policy/certificate.","Has any applicant had testing performed and has not received results, or been advised by a medical professional to have treatment, testing, or surgery that has not been performed? The person(s) named will not be covered under the policy/certificate.","Within the last 5 years, has any applicant received treatment, advice, medication, or surgical consultation for HIV infection from a doctor or other licensed clinical professional, or had a positive test for HIV infection performed by a doctor or other licensed clinical professional? The person(s) named will not be covered under the policy/certificate.","Does any applicant now have hospital or medical expense insurance that will not terminate prior to the requested effective date? The person(s) named will not be covered under the policy/certificate.","${Question8}"
"##unitedhealthone","Alaska","AK","99504","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Arkansas","AR","72209","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Arizona","AZ","85364","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","California","CA","90011","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Colorado","CO","80219","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Connecticut","CT","6606","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Delaware","DE","19805","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","District Of Columbia","DC","20015","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Florida","FL","33186","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Georgia","GA","30044","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Hawaii","HI","96818","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Iowa","IA","50317","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Idaho","ID","83709","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Illinois","IL","60629","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Indiana","IN","46227","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Kansas","KS","66062","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Kentucky","KY","40214","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Louisiana","LA","70816","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Massachusetts","MA","2128","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Maryland","MD","21215","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Maine","ME","04401","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Michigan","MI","48228","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Minnesota","MN","55106","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Missouri","MO","63129","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Mississippi","MS","39503","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Montana","MT","59102","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","North Carolina","NC","28269","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","North Dakota","ND","58103","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","Nebraska","NE","68104","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","New Hampshire","NH","3103","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","New Jersey","NJ","8701","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
"##IHC Group","New Mexico","NM","87121","12/21/1969","${Question1}","${Question2}","${Question3}","${Question4}","${Question5}","${Question6}","${Question7}","${Question8}"
