"state","state1","zipcode","Deductible","Coinsurance","Out-Of-Pocket","HII_P"
"##Alabama","AL","35215","$5,000","70/30","$5,000","${HII_P}"
"##Alaska","AK","99504","$5,000","70/30","$5,000","${HII_P}"
"Arkansas","AR","72209","$5,000","70/30","$5,000","${HII_P}"
"Arkansas","AR","72209","$5,000","80/20","$5,000","${HII_P}"
"##Arizona","AZ","85364","$5,000","70/30","$5,000","${HII_P}"
"##California","CA","90011","$5,000","70/30","$5,000","${HII_P}"
"Colorado","CO","80219","$5,000","70/30","$5,000","${HII_P}"
"##Connecticut","CT","06606","$5,000","70/30","$5,000","${HII_P}"
"Delaware","DE","19805","$5,000","70/30","$5,000","${HII_P}"
"DC","DC","20015","$5,000","70/30","$5,000","${HII_P}"
"Florida","FL","33186","$5,000","70/30","$5,000","${HII_P}"
"Florida","FL","33186","$1,000","70/30","$5,000","${HII_P}"
"Georgia","GA","30044","$5,000","70/30","$5,000","${HII_P}"
"##Hawaii","HI","96818","$5,000","70/30","$5,000","${HII_P}"
"Iowa","IA","50317","$5,000","70/30","$5,000","${HII_P}"
"##Idaho","ID","83709","$5,000","70/30","$5,000","${HII_P}"
"##Illinois","IL","60629","$5,000","70/30","$5,000","${HII_P}"
"Indiana","IN","46227","$5,000","70/30","$5,000","${HII_P}"
"Indiana","IN","46227","$5,000","100/0","$5,000","${HII_P}"
"##Kansas","KS","66062","$5,000","70/30","$5,000","${HII_P}"
"##Kentucky","KY","40214","$5,000","70/30","$5,000","${HII_P}"
"Louisiana","LA","70816","$5,000","70/30","$5,000","${HII_P}"
"Louisiana","LA","70816","$5,000","70/30","$5,000","${HII_P}"
"##Massachusetts","MA","02128","$5,000","70/30","$5,000","${HII_P}"
"##Maryland","MD","21215","$5,000","70/30","$5,000","${HII_P}"
"##Maine","ME","04401","$5,000","70/30","$5,000","${HII_P}"
"##Michigan","MI","48228","$5,000","70/30","$5,000","${HII_P}"
"##Minnesota","MN","55106","$5,000","70/30","$5,000","${HII_P}"
"Missouri","MO","63129","$5,000","70/30","$5,000","${HII_P}"
"##Mississippi","MS","39503","$5,000","70/30","$5,000","${HII_P}"
"##Montana","MT","59102","$5,000","70/30","$5,000","${HII_P}"
"##North Carolina","NC","28269","$5,000","70/30","$5,000","${HII_P}"
"##North Dakota","ND","58103","$5,000","70/30","$5,000","${HII_P}"
"##Nebraska","NE","68104","$5,000","70/30","$5,000","${HII_P}"
"##New Hampshire","NH","03103","$5,000","70/30","$5,000","${HII_P}"
"##New Jersey","NJ","08701","$5,000","70/30","$5,000","${HII_P}"
"##New Mexico","NM","87121","$5,000","70/30","$5,000","${HII_P}"
"Nevada","NV","89110","$5,000","70/30","$5,000","${HII_P}"
"##New York","NY","11226","$5,000","70/30","$5,000","${HII_P}"
"##Ohio","OH","43228","$5,000","70/30","$5,000","${HII_P}"
"##Oklahoma","OK","73160","$5,000","70/30","$5,000","${HII_P}"
"Oregon","OR","97229","$5,000","70/30","$5,000","${HII_P}"
"##Pennsylvania","PA","19120","$5,000","70/30","$5,000","${HII_P}"
"##Rhode Island","RI","02909","$5,000","70/30","$5,000","${HII_P}"
"South Carolina","SC","29223","$5,000","70/30","$5,000","${HII_P}"
"South Dakota","SD","57106","$5,000","70/30","$5,000","${HII_P}"
"##Tennessee","TN","37013","$5,000","70/30","$5,000","${HII_P}"
"Texas","TX","79936","$5,000","70/30","$5,000","${HII_P}"
"##Utah","UT","84120","$5,000","70/30","$5,000","${HII_P}"
"Virginia","VA","23464","$5,000","70/30","$5,000","${HII_P}"
"##Vermont","VT","05401","$5,000","70/30","$5,000","${HII_P}"
"##Washington","WA","98115","$5,000","70/30","$5,000","${HII_P}"
"Wisconsin","WI","53215","$5,000","70/30","$5,000","${HII_P}"
"West Virginia","WV","25302","$5,000","70/30","$5,000","${HII_P}"
"##Wyoming","WY","82001","$5,000","70/30","$5,000","${HII_P}"
