"state","state1","zipcode","planCount","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","AdvantHealth","Aspen"
"Alabama","AL","35215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##Alaska","AK","99504","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Arkansas","AR","72209","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Arizona","AZ","85364","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##California","CA","90011","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Colorado","CO","80219","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Connecticut","CT","06606","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Delaware","DE","19805","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"District Of Columbia","DC","20015","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Florida","FL","33186","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Georgia","GA","30044","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Hawaii","HI","96818","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Iowa","IA","50317","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Idaho","ID","83709","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Illinois","IL","60629","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Indiana","IN","46227","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Kansas","KS","66062","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Kentucky","KY","40214","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Louisiana","LA","70816","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##Massachusetts","MA","02128","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Maryland","MD","21215","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Maine","ME","04401","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Michigan","MI","48228","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Minnesota","MN","55106","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Missouri","MO","63129","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Mississippi","MS","39503","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Montana","MT","59102","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"North Carolina","NC","28269","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"North Dakota","ND","58103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"Nebraska","NE","68104","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"New Hampshire","NH","03103","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"##New Jersey","NJ","08701","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
"New Mexico","NM","87121","${planCount}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","${advanthealth}","${aspen}"
