"state","zipcode","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice"
"al","35215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ak","99504","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"ar","72209","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"az","85364","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ca","90011","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##co","80219","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ct","06606","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"de","19805","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##dc","20015","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"fl","33186","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"ga","30044","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##hi","96818","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ia","50317","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##id","83709","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"il","60629","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##in","46227","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ks","66062","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"ky","40214","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"la","70816","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ma","02128","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##md","21215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##me","04401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##mi","48228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##mn","55106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"mo","63129","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"ms","39503","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##mt","59102","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##nc","28269","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##nd","58103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ne","68104","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##nh","03103","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##nj","08701","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##nm","87121","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"nv","89110","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ny","11226","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##oh","43228","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"ok","73160","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##or","97229","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##pa","19120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ri","02909","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"sc","29223","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##sd","57106","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##tn","37013","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"tx","79936","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##ut","84120","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"va","23464","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##vt","05401","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##wa","98115","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"wi","53215","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"wv","25302","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
"##wy","82001","${premium}","${duration}","${extendedInfo}","${uri}","${status}","aspen","${finalPrice}"
