"state","zipcode","planid","premium","duration","uri","status"
"al","35215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ak","99504","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ar","72209","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"az","85364","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ca","90011","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##co","80219","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ct","06606","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##de","19805","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##dc","20015","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##fl","33186","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ga","30044","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##hi","96818","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ia","50317","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##id","83709","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##il","60629","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##in","46227","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ks","66062","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ky","40214","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##la","70816","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ma","02128","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##md","21215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##me","04401","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##mi","48228","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##mn","55106","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##mo","63129","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ms","39503","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##mt","59102","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"nc","28269","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##nd","58103","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ne","68104","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##nh","03103","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##nj","08701","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##nm","87121","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"nv","89110","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ny","11226","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"oh","43228","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"ok","73160","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##or","97229","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##pa","19120","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ri","02909","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##sc","29223","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##sd","57106","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##tn","37013","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"tx","79936","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##ut","84120","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##va","23464","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##vt","05401","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##wa","98115","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"wi","53215","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##wv","25302","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
"##wy","82001","advanthealth-plan-1-${state}-5000-20-9000-500000","${premium}","${duration}","${uri}","${status}"
