"state","zipcode","planid","premium","duration","extendedInfo/pre-ex","uri","status","carrierid","finalPrice","PLID"
"al","35215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ak","99504","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ar","72209","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"az","85364","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ca","90011","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"co","80219","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ct","06606","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##de","19805","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##dc","20015","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"fl","33186","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"ga","30044","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##hi","96818","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ia","50317","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"id","83709","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"il","60629","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"in","46227","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ks","66062","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ky","40214","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"la","70816","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ma","02128","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##md","21215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##me","04401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##mi","48228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"mn","55106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"mo","63129","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"ms","39503","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##mt","59102","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"nc","28269","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##nd","58103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"ne","68104","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"nh","03103","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##nj","08701","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##nm","87121","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"nv","89110","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ny","11226","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"oh","43228","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"ok","73160","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"or","97229","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"pa","19120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ri","02909","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"sc","29223","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"sd","57106","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"tn","37013","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"tx","79936","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##ut","84120","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"va","23464","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##vt","05401","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"##wa","98115","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"wi","53215","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"wv","25302","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
"wy","82001","lifeshield-flex-${state}-5000-20-9000-750000","${premium}","${duration}","${extendedInfo}","${uri}","${status}","everest","${finalPrice}","spark"
