"state","zipcode","planname","premium","duration","teladoc","nationwide","usaplus","uri","status"
"al","35215","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ak","99504","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ar","72209","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"az","85364","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ca","90011","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"co","80219","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ct","06606","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"de","19805","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"dc","20015","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"fl","33186","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ga","30044","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"hi","96818","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ia","50317","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"id","83709","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"il","60629","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"in","46227","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ks","66062","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ky","40214","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"la","70816","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ma","02128","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"md","21215","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"me","04401","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"mi","48228","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"mn","55106","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"mo","63129","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ms","39503","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"mt","59102","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nc","28269","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nd","58103","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ne","68104","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nh","03103","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nj","08701","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nm","87121","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"nv","89110","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ny","11226","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"oh","43228","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ok","73160","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"or","97229","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"pa","19120","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ri","02909","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"sc","29223","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"sd","57106","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"tn","37013","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"tx","79936","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"ut","84120","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"va","23464","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"vt","05401","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"wa","98115","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"wi","53215","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"wv","25302","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
"wy","82001","${planname}","${premium}","${duration}","${teladoc}","${nationwide}","${usaplus}","${uri}","${status}"
