"provider","state","state1","zipcode","Total","over6","upTo6","Max Duration","Enable"
"Everest","Alabama","AL","35215","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Alaska","AK","99504","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Arkansas","AR","72209","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Arizona","AZ","85364","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","California","CA","90011","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Colorado","CO","80219","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Connecticut","CT","06606","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Delaware","DE","19805","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","District Of Columbia","DC","20015","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Florida","FL","33186","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Georgia","GA","30044","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Hawaii","HI","96818","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Iowa","IA","50317","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Idaho","ID","83709","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Illinois","IL","60629","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Indiana","IN","46227","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Kansas","KS","66062","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Kentucky","KY","40214","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Louisiana","LA","70816","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Massachusetts","MA","02128","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Maryland","MD","21215","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Maine","ME","04401","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Michigan","MI","48228","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Minnesota","MN","55106","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Missouri","MO","63129","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Mississippi","MS","39503","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Montana","MT","59102","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","North Carolina","NC","28269","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","North Dakota","ND","58103","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Nebraska","NE","68104","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","New Hampshire","NH","03103","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","New Jersey","NJ","08701","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","New Mexico","NM","87121","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Nevada","NV","89110","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","New York","NY","11226","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Ohio","OH","43228","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Oklahoma","OK","73160","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Oregon","OR","97229","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Pennsylvania","PA","19120","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Rhode Island","RI","02909","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","South Carolina","SC","29223","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","South Dakota","SD","57106","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Tennessee","TN","37013","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Texas","TX","79936","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Utah","UT","84120","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Virginia","VA","23464","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Vermont","VT","05401","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Washington","WA","98115","${num}","${over6}","${upTo6}","${maxDuration}","N"
"Everest","Wisconsin","WI","53215","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","West Virginia","WV","25302","${num}","${over6}","${upTo6}","${maxDuration}","Y"
"Everest","Wyoming","WY","82001","${num}","${over6}","${upTo6}","${maxDuration}","N"
