"state","state1","zip","planname","uri","Price","userid"
"Alabama","AL","35215","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##Alaska","AK","99504","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Arkansas","AR","72209","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Arizona","AZ","85364","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"California","CA","90011","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Colorado","CO","80219","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Connecticut","CT","06606","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Delaware","DE","19805","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"District Of Columbia","DC","20015","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Florida","FL","33186","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Georgia","GA","30044","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Hawaii","HI","96818","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Iowa","IA","50317","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Idaho","ID","83709","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Illinois","IL","60629","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Indiana","IN","46227","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##Kansas","KS","66062","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Kentucky","KY","40214","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Louisiana","LA","70816","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##Massachusetts","MA","02128","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Maryland","MD","21215","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"##Maine","ME","4401","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##Michigan","MI","48228","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Minnesota","MN","55106","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Missouri","MO","63129","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Mississippi","MS","39503","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"##Montana","MT","59102","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"North Carolina","NC","28269","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"North Dakota","ND","58103","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Nebraska","NE","68104","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"##New Hampshire","NH","03103","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"New Jersey","NJ","08701","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"New Mexico","NM","87121","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Nevada","NV","89110","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##New York","NY","11226","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Ohio","OH","43228","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Oklahoma","OK","73160","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Oregon","OR","97229","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Pennsylvania","PA","19120","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Rhode Island","RI","02909","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"##South Carolina","SC","29223","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"##South Dakota","SD","57106","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Tennessee","TN","37013","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Texas","TX","79936","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"##Utah","UT","84120","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Virginia","VA","23464","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"Vermont","VT","05401","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Washington","WA","98115","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
"Wisconsin","WI","53215","USA+ Access III","${uri}","${review_P_on_going}","${userid}"
"West Virginia","WV","25302","USA+ Access II","${uri}","${review_P_on_going}","${userid}"
"Wyoming","WY","82001","USA+ Select I","${uri}","${review_P_on_going}","${userid}"
