"state","zipcode","planid","uri","status","price"
"al","35215","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ak","99504","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ar","72209","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"az","85364","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ca","90011","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##CO","80219","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ct","06606","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"de","19805","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"dc","20015","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"fl","33186","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ga","30044","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##hi","96818","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ia","50317","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"id","83709","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"il","60629","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"in","46227","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ks","66062","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ky","40214","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"la","70816","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ma","02128","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##md","21215","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##me","04401","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"mi","48228","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##mn","55106","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##mo","63129","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ms","39503","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##mt","59102","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##nc","28269","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"nd","58103","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ne","68104","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##nh","03103","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##nj","08701","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##nm","87121","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"nv","89110","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ny","11226","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"oh","43228","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"ok","73160","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##or","97229","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"pa","19120","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ri","02909","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"sc","29223","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##sd","57106","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"tn","37013","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"tx","79936","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##ut","84120","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"va","23464","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##vt","05401","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##wa","98115","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"##wi","53215","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"wv","25302","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
"wy","82001","slaico-${state}-plan-2-10000-30-20000-250000","${uri}","${status}","${price}"
