"state","state1","zipcode","planCount","AdvantHealth","pivotcompanion","everest","everest-one","lifeshield","nationalgeneral","slaico","PLID"
"Alabama","AL","35215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##Alaska","AK","99504","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Arkansas","AR","72209","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Arizona","AZ","85364","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##California","CA","90011","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Colorado","CO","80219","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Connecticut","CT","06606","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Delaware","DE","19805","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"District Of Columbia","DC","20015","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Florida","FL","33186","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Georgia","GA","30044","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Hawaii","HI","96818","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Iowa","IA","50317","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Idaho","ID","83709","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Illinois","IL","60629","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Indiana","IN","46227","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Kansas","KS","66062","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Kentucky","KY","40214","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Louisiana","LA","70816","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##Massachusetts","MA","02128","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Maryland","MD","21215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Maine","ME","04401","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Michigan","MI","48228","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Minnesota","MN","55106","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Missouri","MO","63129","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Mississippi","MS","39503","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Montana","MT","59102","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"North Carolina","NC","28269","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"North Dakota","ND","58103","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Nebraska","NE","68104","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"New Hampshire","NH","03103","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##New Jersey","NJ","08701","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"New Mexico","NM","87121","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Nevada","NV","89110","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##New York","NY","11226","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Ohio","OH","43228","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Oklahoma","OK","73160","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Oregon","OR","97229","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Pennsylvania","PA","19120","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##Rhode Island","RI","02909","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"South Carolina","SC","29223","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"South Dakota","SD","57106","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Tennessee","TN","37013","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Texas","TX","79936","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Utah","UT","84120","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Virginia","VA","23464","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##Vermont","VT","05401","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"##Washington","WA","98115","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Wisconsin","WI","53215","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"West Virginia","WV","25302","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
"Wyoming","WY","82001","${planCount}","${advanthealth}","${pivotcompanion}","${everest}","${everestone}","${lifeshield}","${nationalgeneral}","${slaico}","tristar"
